Segment,Transcription
1,"Good afternoon everyone and welcome to FinTech Plus Sync's second quarter 2023 earnings call. I'm John Doe, CEO of FinTech Plus."
2,"We've had a stellar Q2 with a revenue of $125 million, a 25% increase year-over-year. Our gross profit"
3,margin stands at a solid 58% due in part to cost efficiencies gained from our scalable business model. Our EBITDA has surged to 3.5%.
4,"37.5M, translating to a remarkable 30% EBITDA margin. Our net income for the quarter rose to $16M, which is a note"
5,worthy increase from $10 million in Q2 2022. Our total addressable market has grown substantially thanks to the expansion of our high yield savings.
6,"product line, and the new RoboAdvisor platform. We've been diversifying our asset-backed securities portfolio, investing heavily in"
7,"collateralized debt obligations, and residential mortgage-backed securities. We've also invested $25 million in AAA-rated corporate bonds, enhancing our risk-taking capabilities."
8,"adjusted returns. As for our balance sheet, total assets reached $1.5 billion with total liabilities at $900 million."
9,"million, leaving us with a solid equity base of $600 million. Our debt-to-equity ratio stands at 1.5, a healthy figure considering our"
10,expansionary phase. We continue to see substantial organic user growth with customer acquisition cost dropping by
11,"15% and lifetime value growing by 25%. Our LTV CAC ratio is at an impression, impressive."
12,"3.5 percent X. In terms of risk management, we have a value at risk model in place with "
13,99% confidence level indicating that our maximum loss will not exceed 5 million in the next trading day We've adopted a conservative approach to manage
14,"managing our leverage, and have a healthy tier 1 capital ratio of 12.5%. Our forecast for the coming quarter is positive."
15,"We expect revenue to be around $135 million and 8% quarter-over-quarter growth, driven primarily by our cutting-edge blockchain solutions and AI."
16,predictive analytics. We're also excited about the upcoming IPO of our fintech subsidiary Pay Plus which we expect to raise two hundred million dollars.
17,"billion, significantly bolstering our liquidity and paving the way for aggressive growth strategies. We thank our shareholders for their continued faith"
18,us and we look forward to an even more successful Q3. Thank you so much.
